include,label,title,pathology_category,assigned_groups,structure_id,rung_tag,rung_type,source_route,space_group,radiation,R1,wR2,Rint,completeness,alerts_A,alerts_B,alerts_C,catastrophic,cif_path,fcf_available,suggested_label
,,,Data quality — low resolution,,yz2076,01_res_1p0,data-degradation,synthetic-degraded,P -1,Mo,0.0219,0.0585,0.022,99.8%,1,0,4,,Pipeline/Good_Structures_and_data/yz2076/ladder/rung_01_res_1p0/I.cif,yes,yz2076_res1p0
,,,Data quality — low resolution,,yz2076,02_res_1p2,data-degradation,synthetic-degraded,P -1,Mo,0.0194,0.0523,0.020,99.6%,7,4,12,,Pipeline/Good_Structures_and_data/yz2076/ladder/rung_02_res_1p2/I.cif,yes,yz2076_res1p2
,,,Data quality — incomplete data,,yz2076,03_complete_88,data-degradation,synthetic-degraded,P -1,Mo,0.0319,0.0944,0.038,86.0%,1,0,4,,Pipeline/Good_Structures_and_data/yz2076/ladder/rung_03_complete_88/I.cif,yes,yz2076_complete88
,,,Data quality — incomplete data,,yz2076,04_complete_80,data-degradation,synthetic-degraded,P -1,Mo,0.0318,0.0940,0.038,78.2%,1,0,2,,Pipeline/Good_Structures_and_data/yz2076/ladder/rung_04_complete_80/I.cif,yes,yz2076_complete80
,,,Data quality — systematic gaps (3DED geometry),,yz2076,05_cone_3ded,data-degradation,synthetic-degraded,P -1,Mo,0.0317,0.0934,0.037,79.8%,1,0,3,,Pipeline/Good_Structures_and_data/yz2076/ladder/rung_05_cone_3ded/I.cif,yes,yz2076_cone3ded
,,,Data quality — low-angle wedge missing,,yz2076,06_wedge_lowang,data-degradation,synthetic-degraded,P -1,Mo,0.0325,0.0952,0.043,97.3%,0,0,4,,Pipeline/Good_Structures_and_data/yz2076/ladder/rung_06_wedge_lowang/I.cif,yes,yz2076_wedgelowang
,,,Data quality — weak data,,yz2076,07_weak,data-degradation,synthetic-degraded,P -1,Mo,0.0301,0.0906,0.038,97.4%,0,1,5,,Pipeline/Good_Structures_and_data/yz2076/ladder/rung_07_weak/I.cif,yes,yz2076_weak
,,,Data quality — absorption error,,yz2076,08_absorption,data-degradation,synthetic-degraded,P -1,Mo,0.0659,0.1851,0.038,97.4%,2,12,17,,Pipeline/Good_Structures_and_data/yz2076/ladder/rung_08_absorption/I.cif,yes,yz2076_absorption
,,,Reference (no degradation),,nx2032,00_reference,data-degradation,synthetic-degraded,P -4 21 c,Mo,0.0240,0.0575,0.049,100.0%,0,0,2,,Pipeline/Good_Structures_and_data/nx2032/ladder/rung_00_reference/I.cif,yes,nx2032_reference
,,,Data quality — low resolution,,nx2032,01_res_1p0,data-degradation,synthetic-degraded,P -4 21 c,Mo,0.0177,0.0434,0.034,99.0%,1,1,3,,Pipeline/Good_Structures_and_data/nx2032/ladder/rung_01_res_1p0/I.cif,yes,nx2032_res1p0
